model,cond,pid,eos,n_new,coverage,n_stmts,tok_cross,ast4,ast8,ast16,kind,p_stmt,cycles,unit,d_stmt,L,D,tail_tokmin,line_p,line_L,line_D,literal,L_eff,D_eff,anyaxis,degen
qwen,t08,pascal,True,117,1.0,12,,,,,,,,,,,,,,,,,,,False,False
qwen,t08,chunk,False,600,1.0,20,89,533,585,,quasi,1,6.0,statement,1,20,12,0.406,,,,N,20,12,True,True
qwen,p95,merge_sort,True,263,1.0,30,,,194,,quasi,3,4.0,block,2,24,19,0.594,,,,N,24,19,True,False
qwen,p95,binary_search,True,106,1.0,14,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,fibonacci,True,202,1.0,27,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,parse_csv,True,552,1.0,56,,496,,,,,,,,,,,,,,,,,False,False
qwen,p95,word_freq,True,68,1.0,10,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,flatten,True,88,1.0,9,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,stack_class,True,195,1.0,24,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,lru_cache,False,600,1.0,33,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,prime_sieve,True,296,1.0,23,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,roman,True,271,1.0,19,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,balanced,True,75,1.0,12,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,transpose,True,143,1.0,14,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,rle,True,116,1.0,19,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,dedup,True,323,1.0,7,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,gcd,True,224,1.0,24,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,quicksort,False,600,0.947,53,514,,,,,,,,,,,,,,,,,,False,False
qwen,p95,tree_walk,True,344,1.0,49,,,,,strict,2,3.0,function,2,21,19,0.625,,,,N,21,19,True,False
qwen,p95,json_walk,True,54,1.0,10,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,email,True,193,1.0,18,,191,191,,quasi,2,4.0,block,2,17,16,0.562,,,,N,17,16,True,False
qwen,p95,temp,True,192,1.0,24,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,reverse_words,True,74,1.0,9,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,anagram,True,9,1.0,3,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,pascal,True,68,1.0,7,,,,,,,,,,,,,,,,,,,False,False
qwen,p95,chunk,True,37,1.0,4,,,,,,,,,,,,,,,,,,,False,False
