model,cond,pid,eos,coverage,n_stmts,kind,p_stmt,cycles,unit,literal,d_stmt,L_tok,D_tok,pred_floor,tail_tokmin,tok_min,line_p,line_L,L_eff,anyaxis,degen
gpt2,greedy,roman,False,0.509,28.0,strict,1.0,27.0,statement,Y,1.0,23.0,20.0,0.625,0.625,0.625,2.0,23.0,23.0,True,True
gpt2,greedy,balanced,False,0.509,29.0,strict,1.0,28.0,statement,Y,1.0,22.0,19.0,0.594,0.594,0.594,2.0,22.0,22.0,True,True
gpt2,greedy,transpose,False,0.982,56.0,strict,2.0,28.0,function,Y,2.0,22.0,17.0,0.531,0.531,0.531,2.0,22.0,22.0,True,True
gpt2,greedy,rle,False,0.51,25.0,strict,1.0,24.0,statement,Y,1.0,26.0,20.0,0.625,0.625,0.625,2.0,26.0,26.0,True,True
gpt2,greedy,dedup,False,0.509,29.0,strict,1.0,28.0,statement,Y,1.0,22.0,18.0,0.562,0.562,0.562,2.0,22.0,22.0,True,True
gpt2,greedy,gcd,False,0.98,48.0,strict,2.0,24.0,function,Y,2.0,26.0,22.0,0.688,0.688,0.688,2.0,26.0,26.0,True,True
gpt2,greedy,quicksort,False,0.017,1.0,,,,,Y,,,,,,0.531,2.0,21.0,21.0,True,True
gpt2,greedy,tree_walk,False,0.755,36.0,strict,3.0,10.7,block,Y,3.0,53.0,28.0,,0.562,0.5,4.0,53.0,53.0,True,True
gpt2,greedy,json_walk,False,0.51,25.0,strict,1.0,24.0,statement,Y,1.0,26.0,22.0,0.688,0.688,0.688,2.0,26.0,26.0,True,True
gpt2,greedy,email,False,0.51,51.0,strict,1.0,47.0,statement,Y,1.0,12.0,9.0,0.281,0.281,0.281,2.0,12.0,12.0,True,True
gpt2,greedy,temp,False,0.98,48.0,strict,2.0,24.0,function,Y,2.0,26.0,21.0,0.656,0.656,0.656,2.0,26.0,26.0,True,True
gpt2,greedy,reverse_words,False,0.419,26.0,strict,1.0,24.0,statement,Y,1.0,16.0,11.0,0.344,0.375,0.375,5.0,50.0,16.0,True,True
gpt2,greedy,anagram,False,0.519,27.0,strict,1.0,26.0,statement,Y,1.0,24.0,19.0,0.594,0.594,0.594,2.0,24.0,24.0,True,True
gpt2,greedy,pascal,False,0.52,26.0,strict,1.0,25.0,statement,Y,1.0,25.0,22.0,0.688,0.688,0.688,2.0,25.0,25.0,True,True
gpt2,greedy,chunk,False,0.977,85.0,strict,1.0,82.0,statement,Y,1.0,7.0,6.0,0.188,0.188,0.188,1.0,7.0,7.0,True,True
qwen,t08,merge_sort,True,1.0,33.0,quasi,3.0,4.0,block,N,2.0,33.0,29.0,,0.781,0.312,,,33.0,True,False
qwen,t08,binary_search,True,1.0,38.0,,,,,,,,,,,0.562,,,,False,False
qwen,t08,fibonacci,True,1.0,6.0,,,,,,,,,,,0.75,,,,False,False
qwen,t08,parse_csv,True,1.0,25.0,,,,,,,,,,,0.594,,,,False,False
qwen,t08,word_freq,True,1.0,13.0,,,,,,,,,,,0.625,,,,False,False
qwen,t08,flatten,True,1.0,7.0,,,,,,,,,,,0.75,,,,False,False
qwen,t08,stack_class,True,1.0,33.0,quasi,1.0,6.0,statement,N,1.0,21.0,18.0,0.562,0.562,0.5,,,21.0,True,False
qwen,t08,lru_cache,True,1.0,60.0,quasi,2.0,7.0,block,N,2.0,18.0,11.0,0.344,0.375,0.375,,,18.0,True,False
qwen,t08,prime_sieve,True,1.0,24.0,,,,,,,,,,,0.656,,,,False,False
qwen,t08,roman,False,1.0,25.0,,,,,,,,,,,0.344,,,,False,False
qwen,t08,balanced,True,1.0,12.0,,,,,,,,,,,0.625,,,,False,False
qwen,t08,transpose,True,1.0,20.0,,,,,,,,,,,0.688,,,,False,False
qwen,t08,rle,True,1.0,16.0,,,,,,,,,,,0.562,,,,False,False
qwen,t08,dedup,True,1.0,10.0,,,,,,,,,,,0.625,,,,False,False
qwen,t08,gcd,True,1.0,36.0,strict,3.0,3.0,block,N,2.0,37.0,26.0,,0.656,0.469,,,37.0,True,False
qwen,t08,quicksort,False,1.0,72.0,quasi,2.0,8.0,block,N,2.0,13.0,11.0,0.344,0.406,0.406,,,13.0,True,True
qwen,t08,tree_walk,True,1.0,30.0,,,,,,,,,,,0.562,,,,False,False
qwen,t08,json_walk,True,1.0,10.0,,,,,,,,,,,0.531,,,,False,False
qwen,t08,email,True,1.0,8.0,,,,,,,,,,,0.656,,,,False,False
qwen,t08,temp,True,1.0,28.0,,,,,,,,,,,0.688,,,,False,False
qwen,t08,reverse_words,True,1.0,5.0,,,,,,,,,,,,,,,False,False
qwen,t08,anagram,True,1.0,5.0,,,,,,,,,,,,,,,False,False
qwen,t08,pascal,True,1.0,12.0,,,,,,,,,,,0.688,,,,False,False
qwen,t08,chunk,False,1.0,20.0,quasi,1.0,6.0,statement,N,1.0,20.0,12.0,0.375,0.406,0.281,,,20.0,True,True
qwen,p95,merge_sort,True,1.0,30.0,quasi,3.0,4.0,block,N,2.0,24.0,19.0,0.594,0.594,0.5,,,24.0,True,False
qwen,p95,binary_search,True,1.0,14.0,,,,,,,,,,,0.562,,,,False,False
qwen,p95,fibonacci,True,1.0,27.0,,,,,,,,,,,0.562,,,,False,False
qwen,p95,parse_csv,True,1.0,56.0,,,,,,,,,,,0.344,,,,False,False
qwen,p95,word_freq,True,1.0,10.0,,,,,,,,,,,0.562,,,,False,False
qwen,p95,flatten,True,1.0,9.0,,,,,,,,,,,0.688,,,,False,False
qwen,p95,stack_class,True,1.0,24.0,,,,,,,,,,,0.719,,,,False,False
qwen,p95,lru_cache,False,1.0,33.0,,,,,,,,,,,0.438,,,,False,False
